CODEISIN;CATV;PERF_POS_1M;PERF_POS_3M;PERF_POS_YTD;PERF_POS_DEB;CTRB_POS_1M;CTRB_POS_3M;CTRB_POS_YTD;CTRB_POS_DEB;CTRB_PORT_1M;CTRB_PORT_3M;CTRB_PORT_YTD;CTRB_PORT_DEB;PERF_PORT_1M;PERF_PORT_3M;PERF_PORT_YTD;PERF_PORT_DEB;PNL_PORT_1M;PNL_PORT_3M;PNL_PORT_YTD;PNL_PORT_DEB;CTRB_VENTE_1M;CTRB_VENTE_3M;CTRB_VENTE_YTD;CTRB_VENTE_DEB;PNL_VENTE_1M;PNL_VENTE_3M;PNL_VENTE_YTD;PNL_VENTE_DEB;FRAIS_1M;FRAIS_3M;FRAIS_YTD;FRAIS_DEB;CTRB_FRAIS_1M;CTRB_FRAIS_3M;CTRB_FRAIS_YTD;CTRB_FRAIS_DEB;C_D
XS0828749761;VMOB;0,0000000000;0,0000000000;-0,0080152369;-0,0080152369;0,0000000000;0,0000000000;-0,0000992165;-0,0000992165;0,0000000000;0,0000000000;0,0001039172;0,0001039172;0,0000000000;0,0000000000;0,0089651600;0,0089651600;0,0000000000;0,0000000000;107581,9199999999;107581,9199999999;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0894202968;VMOB;-0,0013844937;-0,0032573290;;;-0,0000056166;-0,0000130213;-0,0000192912;-0,0000192912;0,0000083509;0,0000233644;0,0000350836;0,0000350836;0,0020765000;0,0059050514;0,0094307814;0,0094307814;7683,0500000000;20622,2550000000;31199,4450000000;31199,4450000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;100,2300000000;543,2400000000;543,2400000000;0,0000000000;0,0000001177;0,0000005932;0,0000005932;EUR
XS0906792105;VMOB;-0,0017743605;-0,0032972441;;;-0,0000005779;-0,0000010531;-0,0000015588;-0,0000015588;0,0000006440;0,0000019137;0,0000031810;0,0000031810;0,0019726000;0,0056096000;0,0094315000;0,0094315000;591,7800000000;1682,8800000000;2829,4500000000;2829,4500000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;38,8000000000;38,8000000000;0,0000000000;0,0000000000;0,0000000413;0,0000000413;EUR
XS0906946008;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0906946008;VMOB;0,0000000000;0,0000000000;-0,0059148069;-0,0059148069;0,0000000000;0,0000000000;-0,0000817003;-0,0000817003;0,0000000000;0,0000000000;0,0001023290;0,0001023290;0,0000000000;0,0000000000;0,0073150497;0,0073150497;0,0000000000;0,0000000000;106068,2200000001;106068,2200000001;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0907289978;VMOB;-0,0031186044;-0,0067967764;;;-0,0000054691;-0,0000123017;-0,0000163341;-0,0000163341;0,0000061469;0,0000182660;0,0000307278;0,0000307278;0,0034726625;0,0098753687;0,0168206875;0,0168206875;5556,2600000000;15800,5900000000;26913,1000000000;26913,1000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;240,6800000000;240,6800000000;0,0000000000;0,0000000000;0,0000002457;0,0000002457;EUR
XS0954674825;VMOB;-0,0046710396;;;;-0,0000454290;-0,0000425668;-0,0000425668;-0,0000425668;0,0000876450;0,0000889263;0,0000889263;0,0000889263;0,0089335722;0,0090671314;0,0090671314;0,0090671314;68824,2400000000;69853,1799999999;69853,1799999999;69853,1799999999;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;2148,0000000000;2148,0000000000;2148,0000000000;0,0000000000;0,0000022809;0,0000022809;0,0000022809;GBP
XS0974877150;VMOB;-0,0022504356;-0,0035403511;-0,0229254022;-0,0229254022;-0,0000335885;-0,0000544868;-0,0003336059;-0,0003336059;0,0000444035;0,0001318282;0,0003303573;0,0003303573;0,0029508206;0,0083914003;0,0224077900;0,0224077900;40417,3900000000;114937,0100000000;306919,4999999999;306919,4999999999;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0985874543;VMOB;-0,0016399145;-0,0053963067;;;-0,0000024891;-0,0000083183;-0,0000154897;-0,0000154897;0,0000040969;0,0000127113;0,0000199807;0,0000199807;0,0027083286;0,0080347214;0,0127291643;0,0127291643;3791,6600000000;11248,6100000000;17820,8300000000;17820,8300000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;35,0000000000;35,0000000000;0,0000000000;0,0000000000;0,0000000377;0,0000000377;EUR
XS0995040051;VMOB;-0,0016885181;-0,0040626239;-0,0181693856;-0,0181693856;-0,0000067490;-0,0000165982;-0,0000545338;-0,0000545338;0,0000100701;0,0000299150;0,0000636981;0,0000636981;0,0025136688;0,0071482297;0,0190881195;0,0190881195;9215,1100000000;26205,4100000000;58302,9674627005;58302,9674627005;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;399,9000000000;399,9000000000;0,0000000000;0,0000000000;0,0000003865;0,0000003865;EUR
